_id,LineCode,StationCode,CompanyName,LineName,StationName,Note
248,e1f,43,大阪市交通局,NULL,井高野小学校前,NULL
249,e1f,44,大阪市交通局,NULL,井高野車庫前,NULL
250,e1f,45,大阪市交通局,NULL,上新庄駅前,NULL
251,e1f,46,大阪市交通局,NULL,大桐二丁目,NULL
252,e1f,47,大阪市交通局,NULL,大桐一丁目,NULL
253,e1f,48,大阪市交通局,NULL,豊里小学校前,NULL
254,e1f,49,大阪市交通局,NULL,豊里,NULL
255,e1f,4a,大阪市交通局,NULL,十三小学校前,NULL
256,e1f,4b,大阪市交通局,NULL,木川栄橋,104号系統
257,e1f,4c,大阪市交通局,NULL,木川東四丁目,NULL
258,e1f,4d,大阪市交通局,NULL,西中島六丁目,NULL
259,e1f,4e,大阪市交通局,NULL,西中島,NULL
260,e1f,4f,大阪市交通局,NULL,新大阪駅北口,NULL
261,e1f,50,大阪市交通局,NULL,センイシティー前,NULL
262,e1f,51,大阪市交通局,NULL,宮原五丁目,NULL
263,e1f,55,大阪市交通局,NULL,北中島小学校前,NULL
264,e1f,56,大阪市交通局,NULL,東三国井有,ひがしみくにいう
265,e1f,57,大阪市交通局,NULL,十八条一丁目,NULL
266,e1f,58,大阪市交通局,NULL,榎木橋,NULL
267,e1f,59,大阪市交通局,NULL,西中島五丁目,NULL
268,e1f,5a,大阪市交通局,NULL,東中島一丁目,NULL
269,e1f,5b,大阪市交通局,NULL,中島中学校前,NULL
270,e1f,5c,大阪市交通局,NULL,新大阪駅東口,NULL
271,e1f,5d,大阪市交通局,NULL,西淡路二丁目,NULL
272,e1f,5e,大阪市交通局,NULL,宮原四丁目,NULL
273,e1f,5f,大阪市交通局,NULL,阪急崇禅寺駅前,NULL
274,e1f,60,大阪市交通局,NULL,淡路二丁目,NULL
275,e1f,61,大阪市交通局,NULL,淡路三丁目,NULL
276,e1f,62,大阪市交通局,NULL,淡路四丁目,NULL
277,e1f,63,大阪市交通局,NULL,西淡路五丁目,NULL
278,e1f,100,大阪市交通局,NULL,淡路五丁目,NULL
279,e1f,101,大阪市交通局,NULL,長橋三丁目,NULL
280,e1f,103,大阪市交通局,NULL,三津屋北二丁目,赤バス区役所～加島駅ルート
281,e1f,104,大阪市交通局,NULL,長柄国分寺,NULL
282,e1f,105,大阪市交通局,NULL,都島橋,NULL
283,e1f,106,大阪市交通局,NULL,都島本通一丁目,NULL
284,e1f,107,大阪市交通局,NULL,地下鉄都島,45系統
285,e1f,108,大阪市交通局,NULL,高倉町一丁目,NULL
286,e1f,109,大阪市交通局,NULL,高倉町二丁目,NULL
287,e1f,10a,大阪市交通局,NULL,高倉町三丁目,NULL
288,e1f,10b,大阪市交通局,NULL,赤川一丁目,NULL
289,e1f,10c,大阪市交通局,NULL,赤川三丁目,NULL
290,e1f,10d,大阪市交通局,NULL,生江,NULL
291,e1f,10e,大阪市交通局,NULL,城北公園前,NULL
292,e1f,10f,大阪市交通局,NULL,中宮,NULL
293,e1f,110,大阪市交通局,NULL,大宮小学校前,NULL
294,e1f,111,大阪市交通局,NULL,今市,NULL
295,e1f,112,大阪市交通局,NULL,地下鉄太子橋今市,NULL
296,e1f,113,大阪市交通局,NULL,守口車庫前,NULL
297,e1f,114,大阪市交通局,NULL,長吉川辺一丁目,NULL
